,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
314,fdb77c3752,,,neutral, ,0.0
556,c628741a80, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,Thank you   I`ve had anxiety issues,neutral, thank you i`ve had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine.,0.24
764,10133a7283," He died.  Wait, what about Magic Jack? I just read it.","He died.  Wait, what about Magic Jack? I just read it.",neutral, he died.,0.18181818181818182
850,49f811f90c, _bob7 I`ll update you. I had to leave him at the vet for tests and xrays.,_bob7 I`ll update you. I had to leave him at the vet for tests and xrays.,neutral, _bob7 i`ll update you.,0.25
1033,6c2e853e4c,??????? #bash ?? ??????? ????????? ????,#bash,neutral, ??????? #bash ?? ??????? ????????? ????,0.2
1736,62be6ead7d,Just got back from Apple Store in Robina. Managed to get a replacement iPhone because it couldn`t access the web properly. So shiny,because it couldn`t access the web properly. So shiny,neutral, just got back from apple store in robina. managed to get a replacement iphone because it couldn`t access the web properly. so shiny,0.391304347826087
1748,1843f47897,dad`s posting got postponed ONE HOUR before he was meant to leave. either going to afganistan or NOWHERE. i`m sorta happy  but he`s gutted,i`m sorta happy  but he`s gutted,neutral, dad`s posting got postponed one hour before he was meant to leave. either going to afganistan or nowhere. i`m sorta happy but he`s gutted,0.2608695652173913
2006,01942ec563,"_Ada_Franco I am working again!  Woo hoo!  Alas, I was unable to obtain an Elita-1 for your daughter.  It`s $80!","Woo hoo!  Alas,",neutral," i am working again! woo hoo! alas, i was unable to obtain an elita-1 for your daughter. it`s $80!",0.16666666666666666
2024,3675ceeedd,Did you know call of duty has a scenario game called 'Nazi zombies?' it`s awesome and scary at the same time,it`s awesome and scary at the same time,neutral, did you know call of duty has a scenario game called 'nazi zombies?' it`s awesome and scary at the same time,0.38095238095238093
2091,8df1edcdd3,"GoodMorning. My Father`s going balistic, and I`d say more but I`d rather not get beat, so Have a Good Day, and please text me","GoodMorning. My Father`s going balistic,",neutral," goodmorning. my father`s going balistic, and i`d say more but i`d rather not get beat, so have a good day, and please text me",0.22727272727272727
2385,13d0be3942,Must be time of month: Watering eyes AGAIN!: http://tinyurl.com/cuwj2b (speciaal voor : zo vind ik ze wï¿½l leuk!  ),st be time of month: Watering eyes AGAIN!:,neutral, must be time of month: watering eyes again!: http://tinyurl.com/cuwj2b (speciaal voor : zo vind ik ze wï¿½l leuk! ),0.35
2797,144dfb402f,I am so full. No more food tonight... I don`t want no cake and ice cream at this party.,I am so full. No more food tonight... I don`t want no cake and ice cream at this party.,neutral, i am so full.,0.23529411764705882
3257,ef8d8e856f,_mcflyandjb its okay!!!  x,its okay!!,neutral, _mcflyandjb its okay!!! x,0.2
