,textID,text,selected_text,sentiment,len_text,len_selected_text
35,4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral,84.0,38.0
57,6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,45.0,19.0
110,9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,126.0,107.0
186,32e4ffe225,_420 why baby?,why baby?,neutral,14.0,9.0
198,931a866d3f,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now","So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,132.0,85.0
199,7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,91.0,80.0
220,e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,your not alone...i need coffee too.,neutral,44.0,35.0
251,77ba0fee75,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,g What is this powerblog challenge you keep talking about?  I`m a newbie followe,neutral,92.0,80.0
289,2dd0cddb70,I want it BACK NOW!: http://bit.ly/PP1WZ,I want it BACK NOW!:,neutral,40.0,20.0
364,b8e58e1a21,"is hungry, twitter.  i want food. </3","is hungry, twitter.  i want food.",neutral,37.0,33.0
404,ef200df027,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,neutral,138.0,108.0
410,41f4eb92b9,[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.,neutral,134.0,102.0
423,5459ddc56e,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral,135.0,127.0
502,faaf5f743d,_Marie Wish I could make it too!!! I hate my commute sometimes,Wish I could make it too!!! I hate my commute sometimes,neutral,62.0,55.0
531,cdcaac066e,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",he couldn`t do it should have cost his part.,neutral,116.0,44.0
556,c628741a80, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,Thank you   I`ve had anxiety issues,neutral,128.0,35.0
628,b8fbbf1936,Edge left me off the contributors list in this month`s issue.  x FFS. <- Werd,Edge left me off the contributors list in this month`s issue.,neutral,77.0,61.0
637,b04bbb81c9,   Hi to one kiwi artist from another kiwi artist,Hi to one kiwi artist from another kiwi artis,neutral,49.0,45.0
685,5bae99f344,"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun","! Gonna scare Rachel with Quarantine tonight, this shall be fun",neutral,131.0,63.0
698,2f6d9d1419,  #stackeoverflow  http://bit.ly/13Nfk1,#stackeoverflow,neutral,39.0,15.0
741,babf4b1bda, and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,and  the Creative VADO`s are out of stock at walmart.com (missed it)  but thanks for tweeting about,neutral,103.0,99.0
