,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
11,16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive, i really really like,0.3333333333333333
21,e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive, interesting. the new updates are kirin pet and metamorph for third job.,0.08333333333333333
25,e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive," fun,",0.09090909090909091
39,2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive, happy,0.25
54,d8ba2a99a9, romance zero is funny,romance zero is funny,positive, funny,0.25
63,90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive, what better way to spoil mum than to let her kick back and relax over a nice,0.0
66,95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive, awesome...,0.0
85,3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive, happy,0.1
90,a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive, awesome!!!!,0.0
95,4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive, happy,0.1111111111111111
99,92e1b6846e, We saw that in none 3D - the baddie`s the best,best,positive, the baddie`s the best,0.3333333333333333
109,a05aea73d7," woof, I wish I was allowed to go",I wish I was allowed to go,positive, wish,0.16666666666666666
114,a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive, love,0.3333333333333333
117,9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive, awesomee,0.25
129,94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive, totally adore,0.3333333333333333
134,6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive, nice to see you tweeting! it`s sunday 10th may and we`re celebrating mother`s day here today. so be nice,0.05263157894736842
135,1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive, relaxed,0.0
149,11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive, endearing--,0.0
151,960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets!!,positive, goooooddd,0.3333333333333333
166,c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive, fun,0.25
171,5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive, best,0.2
181,417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,i totally loved it!,positive, loved,0.25
182,2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,i <3 you. u helped me thru the hrdest time of my life!,positive, u helped,0.15384615384615385
190,9b11b686ec,happy 1 year! <3,happy 1 year! <3,positive, happy,0.25
191,7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive, good morning like to hear it? here it go! goooooooooooood,0.09090909090909091
208,1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,going to have fun,positive, fun,0.25
212,e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,HAHAHA,positive, haha wild.,0.0
226,151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",JONAS BROTHERS - Live to party.                It`s rocking so hard,positive," i love the song,",0.0
228,9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",would love to test it though.,positive," that looks a lot of fun,",0.0
231,8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive, awesome.,0.2
232,c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",Hopefully,positive, hopefully we will be free soon.,0.16666666666666666
239,85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,luv,positive, cool... luv it,0.3333333333333333
240,7df7221145,  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive,to represent the blackberries,0.1
245,7436ec1a2c," yeah I was thinking about that ,ahaha",",ahaha",positive," yeah i was thinking about that ,ahaha",0.14285714285714285
252,96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,died.,positive, #insanedefaults,0.0
261,d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,what an amazing day.,positive, amazing,0.25
264,97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive, wonderful,0.045454545454545456
265,e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive, amazing,0.3333333333333333
266,2ece7f3810,  hope he is ok!,hope,positive, hope he is ok!,0.25
275,dbbbbe6059,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank,positive," thank you for teaching me values and to be a better person each day i love so much, you`re the best mum in the world",0.041666666666666664
276,894e188d01,HAPPY MOTHERS DAY.!,HAPPY,positive, happy mothers day.!,0.3333333333333333
280,1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,Its too nice,positive, nice,0.3333333333333333
283,80481307d5,Happy Mothers Day people. i love my mom a lot still,Happy Mothers Day people. i love my mom a lot still,positive, happy,0.09090909090909091
285,e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",", he was soooo friendly.",positive, awesome,0.0
295,59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,.it`s gorgeous out!,positive, gorgeous,0.3333333333333333
300,7b69f49c42,tonight in party w/ my girls (minus vita),tonight in party w/ my girls (minus vita),positive, party,0.125
309,a54d3c2825," I know   It was worth a shot, though!",as wort,positive, worth,0.0
322,ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love","Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive, feelin the love,0.13636363636363635
326,e9f7f78cfa,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,it was amazin,positive, amazin,0.3333333333333333
344,2f5c77dfb3, oh nice going!,oh nice going!,positive, nice,0.3333333333333333
346,a97db072ed,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,partying,positive, celebrate,0.0
362,b94aaf845e,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,Please Re,positive, please review,0.3333333333333333
365,39923bb286,awesome lucky you,awesome lucky you,positive, awesome,0.3333333333333333
377,3773846bc3,Omg Wango Tango was **** AWSOME! I love my baby for taking me,Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive, love,0.07692307692307693
382,38e44e0f32,  This has made my night!!  Way too funny!!,This has made my night!!  Way too funny!,positive, way too funny!!,0.2222222222222222
383,b534d768ca,Woo CAVS.  Happy Mother`s Day!,Happy,positive, happy mother`s day!,0.3333333333333333
406,2c80b2043e, Have a good one,Have a good on,positive, good,0.25
407,1ecbc820d1," yep infact she is popular, miss india 99, talented film actress .... and lot more","she is popular,",positive," popular, miss india 99, talented",0.14285714285714285
413,38a6cb940a,I sure do hope it becomes 4:20 this afternoon ...,I sure do hope,positive, hope,0.25
416,123fa2ef14,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",you are such amazing people!,positive, fantastic,0.0
417,8ebbcfcfd1,tamlyn wishes she was as cool as my sock draw,cool,positive, wishes she was as cool,0.2
421,301f7824f5,"Yes, I love tea. If that makes me typically English then so be it","Yes, I love tea.",positive, love,0.25
432,1a88179ebb," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .","I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too",positive, i love,0.125
434,45b0430eb9,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,best,positive, dogs are the best,0.25
438,a52203dd88,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",excited,positive, im so excited,0.3333333333333333
446,4a704b77f2, Now you only have 2 hours to sleep...  - Rest if you need it.,- Rest if you need it.,positive, rest,0.16666666666666666
453,2abfe0decb, lol. just don`t ever forget me,lol.,positive, just don`t ever forget me,0.0
458,88d8e96213,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,Wow what a beautiful pictur,positive, beautiful,0.2
464,1a1c392802,cooking with my dad  having lots of fun in the kitchen together,having lots of fun,positive, fun,0.25
466,b0b24ed515,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,Lovely day for it,positive, lovely,0.25
474,0ef15a1349, FIL 461 with cool people like me,cool,positive, cool people like me,0.25
475,2a98bd4240,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,Good,positive, good morning!!! work and then it`s espn`s sunday night baseball. hopefully,0.09090909090909091
481,9c2b1313af,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,best,positive, hope,0.0
503,7311789bcc,workin a long day today... hopefully i can make some good tips,hopefully i can make some good tips,positive, hopefully,0.14285714285714285
506,65ffd159b2, Thanks for the support,Thanks for the support,positive, thanks,0.25
508,151bba80ca,"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",lovely,positive, good,0.0
519,74e92f4188, sounds like you all had a great night . i`m glad it was successful,i`m glad,positive, great night . i`m glad it was successful,0.25
522,1baeebaf86,"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.","well,",positive," garden going well,",0.3333333333333333
524,f383ad9856,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive, love,0.05
530,afca91dc92, WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,its a relaxing place,positive, we quite like,0.0
535,6172153918, it was amazing,it was amazing,positive, amazing,0.3333333333333333
551,d681f0dfbc, haha thanks  its for history and its on how the invention of television has influence america lol,haha thanks  its for history and its on how the invention of television has influence america lol,positive, thanks,0.0625
555,b1fd9116e3," Like your pics, Lucky Girl, again",Like,positive, lucky,0.0
564,35e2ce08fc,And the Sun is shinning.........at last,Sun is shinning.........at last,positive, and the sun is shinning.........,0.2857142857142857
582,21c1915272," http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",awesome,positive, cool! you and your mother have awesome,0.14285714285714285
595,167b97c32a,Just got back from working out. I`m feeling pretty good. work at 4:30,Just got back from working out. I`m feeling pretty good.,positive, good.,0.1
597,d7a7afa0a2," So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!","So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",positive, great,0.047619047619047616
603,ff0112e0e7,I love when ryans a housewife. Makes me smile.,me smile.,positive, love,0.0
608,e5b5debcdc, .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,.great.,positive,great..,0.0
609,2a2fd0848d,"finally gone to the beach, yeaaaah!","finally gone to the beach, yeaaaah!",positive, yeaaaah!,0.16666666666666666
610,98ef34a9f4,_ranjan Did I ever mention what a nice and awesome dude you are?,awesome,positive, nice and awesome,0.3333333333333333
612,be8ba96aca, Hello Gorgeous GIRL! Nice new pic!  HOw are you today,Gorgeous GIRL!,positive, Hello Gorgeous GIRL! Nice new pic!  HOw are you today,0.2
638,a88de8cc26,says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,Happy Mother`s Day,positive, happy,0.3333333333333333
642,ea25722a23,_michele thanks for that...am now following them...love good causes,love good causes,positive, thanks for that...am now following them...love good causes,0.2222222222222222
657,84747e4e05," lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",would help me study for the aptitude tests,positive, help,0.125
660,7ce085e1ef,Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,Loved,positive, happy...skool just let out..! today was my last day..! yippee! r.i.p jackson tyler morris..! always loved,0.0625
666,4cd893fb53, nice one !,nice,positive, nice one !,0.3333333333333333
668,1f3cab50fc,Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,love!!,positive, win them over with my love!!,0.16666666666666666
670,4f0ab06d15," aah. well, have a few friends over there. Just wondering if all`s great and weather`s been good...",good.,positive, great and weather`s been good...,0.0
676,89ff9a9119,_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!,they were so pretty,positive, pretty,0.25
684,f44f3ff9a8,"busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!","Pray for my Uncle,",positive, pray,0.25
688,77711764bf,Good Morning! - Court - Crossfit - Bible Study - Someone very special`s house  http://tinyurl.com/cjs668,very special`s,positive, good morning!,0.0
702,a1847c4311," ah, ok  thank youuuuuu!",k  thank,positive, thank youuuuuu!,0.3333333333333333
704,fc53d120e4,no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,WISH,positive,no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,0.0625
707,c7bd31ba90, SherriEShepherd gave the link for  http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps,. He gives Twitter tips. Hope this helps,positive, hope this helps,0.375
709,48096285e5,  Yeah I`m okay been icing and ace bandage and sitting on my **** on twitter... LOL Thanks,... LOL Than,positive, thanks,0.0
710,4c55586b72, you`re so gorgeous!!,gorgeous!,positive, you`re so gorgeous!!,0.0
711,6ea3693282,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,positive, relaxing,0.045454545454545456
