,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
2,088c60f138,my boss is bullying me...,bullying me,negative, bullying me...,0.3333333333333333
4,358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative," ****,",0.3333333333333333
15,8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative, sunburned,0.2
18,af3fed7fc3,is back home now      gonna miss every one,onna,negative, miss,0.0
27,bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,no internet access to twit,0.16666666666666666
29,d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,Went to sleep and there is a power cut in Noida  Power back up not working too,0.375
32,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative, unhappy,0.1111111111111111
38,4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative, i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0.2
46,ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative, suckkkkkk im a drunk mess!,0.2
49,3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative, not thrilled,0.25
58,703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative, aw.,0.0
60,52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative, lost,0.1111111111111111
64,98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative, jealous....,0.0
76,35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,negative, missin the fam(ily) today. baddd.,0.2
88,bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative, miss,0.25
96,61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative, she`s prolly freaked,0.3333333333333333
102,ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative,"horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! ouch!",0.0625
116,401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative, sad..,0.0
132,b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative, painful...,0.0
139,cb1b0d191d,"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative, missed,0.2
143,254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative, sad,0.0
146,48cdcd5f28,Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative, sore throat,0.3333333333333333
158,5f93cc70ff,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative, forgot,0.1111111111111111
160,e4e9b8713a,My back hurts...really bad,.really bad,negative, hurts...really bad,0.3333333333333333
178,9d3a1e0269,really hopes her car`s illness is not terminal...,illness,negative, illness is not terminal...,0.25
189,a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative, lost,0.0
194,38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,This diet is killing me,negative,I`m starving!! This diet is killing me but I can`t eat after 8pm,0.38461538461538464
196,f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative, bored...,0.0
200,a6fccce9db,should be sleeping.  lost my voice a couple day ago.,lost my voice,negative, lost,0.3333333333333333
204,e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative, i am such a creeper i feel disappointed,0.35
223,242d92151a,Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative, i hate,0.3333333333333333
225,1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",This is worse than taxes.,negative," failed inspection. did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? this is worse than taxes.",0.23809523809523808
248,6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative," wolverine was boss! seriously, and will.i.am was in it, what the ****",0.09090909090909091
260,799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative, if you die i will cry.. which normally leads to small animals getting harmed,0.06666666666666667
281,02c004bc2d,I am tres depressed,depressed,negative, i am tres depressed,0.25
282,b4d5f1e13e,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",sick.,negative," painful tum, threw up, still feel sick.",0.14285714285714285
288,ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative, forced,0.041666666666666664
292,73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",chocked,negative," chocked full of spelling and grammatical errors,",0.14285714285714285
296,e3731b6ce8, what`s goin on hun?  I`m worried about you,m worried,negative, i`m worried,0.3333333333333333
321,e5160216a5,ohh my tooth is hurts ohh  im sad it very hurts,im sad it very hurts,negative, hurts,0.2
327,4c71b5fb91,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,now a migraine.,negative, migraine.,0.3333333333333333
334,f1f5e8edfa,I Miss Daddy and Mommy,I Miss Daddy and Mommy,negative, miss,0.2
340,061eb4c0de, I am lost. Please help me find a good home.,I am lost.,negative, lost.,0.3333333333333333
353,9191e574bb,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,stuck,negative, i just stuck my finger down my throat and there are a bunch of bumps,0.07142857142857142
354,f4e428e4b3,dang last url went down  ? http://blip.fm/~7aigm,dang,negative, down,0.0
355,1ee0b44db0," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",i missed all ur tweets,negative, missed,0.2
356,4095d52d2d, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,Damnit all. That sucks.,negative, sucks.,0.25
359,9b388b2cd9,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,some stupid ****,negative, not fair,0.0
376,81e29d1a0b, aww I miss driving down elmwood,aww I miss driving,negative, miss,0.25
396,bba9d463f4,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,I don`t have no one to cuddle with..,negative, laying alone!!,0.0
398,ebc8565a98," nothing aimed at you, just joining in...sorry",.sorry,negative,...sorry,0.0
399,cf888f0df3,I`m taking a twitter break. Cell is dying,dying,negative, cell is dying,0.3333333333333333
426,71dddc0dff,I`m so hunrgy right now and these heels kill me I can hardly walk in them,kill me,negative, i`m so hunrgy right now and these heels kill me i can hardly walk in them,0.125
427,ca57a8830c,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,both electronic keys stopped working. there is no keyhole!,negative, stopped working.,0.2222222222222222
435,86462cc997,No waterfront anymore   faccia luna and clarendon will have to do,No waterfront anymore,negative, no waterfront anymore faccia luna and clarendon will have to do,0.2727272727272727
437,60d0bb5840,Slipped up and caught the flu  feeling like poop!,feeling like poop!,negative, poop!,0.3333333333333333
439,e8770f1c78,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,then you cry ...,negative, dead ... you just don`t know it til the end ... then you cry,0.3333333333333333
455,754ebd84b4,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,Me at Forever 21  Ethan couldn`t be there,negative, couldn`t be there,0.375
456,fba4c01756,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,SAD,negative, now im sad,0.3333333333333333
457,0888304834,this week of mine was not easy!  but finally it`s over! (:,not easy!,negative, this week of mine was not easy!,0.2857142857142857
465,95b9338e05,Bouncing Rush makes me feel nauseous,Bouncing Rush makes me feel nauseous,negative, nauseous,0.16666666666666666
477,3c8e8d1940,my son got stung by a bug for the first time  his little finger is slightly swollen.,swollen.,negative, stung,0.0
492,ee9df322d1,"   Sorry, we`ll try to keep it down.",Sorr,negative," sorry,",0.0
494,7082999a93,"According to , a quarter of families under six live in poverty.",live in poverty.,negative, poverty.,0.3333333333333333
500,18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative, this is wack...,0.0
504,726e099885, but it all went too quick and there wasn`t a chance lol,d there wasn`t a chance,negative, but it all went too quick and there wasn`t a chance,0.3333333333333333
513,72cfb17265," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",fail),negative, fail)',0.0
516,4f6c17bae7, im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative, allergic,0.06666666666666667
517,fa1385e537, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,. Tomorrow will be tough!,negative, tough!,0.2
534,8aacb54f42,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",dammit,negative," sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",0.041666666666666664
540,9843ecd416,"Aw, not going to Toronto anymore.",not going,negative," aw, not going to toronto anymore.",0.3333333333333333
541,33596d8109, So sorry to hear about your mom! that really sucks,So sorry,negative, so sorry to hear about your mom! that really sucks,0.2
543,82215b50d4,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,Can`t sleep..,negative, afraid,0.0
544,150ebb41ba,I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,sad.,negative, it`s gonna make me so sad.,0.16666666666666666
554,5b747a13f6,Shopped til i dropped....come bac sunshine i miss u,Shopped til i dropped....come bac sunshine i miss u,negative, miss,0.125
561,5fbd854b80,i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,hard,negative, hard time talking to new people - i am pretty sure i didn`t make a good impression.....,0.0625
562,443d30a0ba,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative, terrible headache,0.14285714285714285
565,2b6017f8f5,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes","slowest train ever,",negative, slowest,0.3333333333333333
579,4f9abe51eb," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",huh?,negative, i haven`t stopped sweating,0.0
586,2f1cd44ea2, I didn`t want to tell you but I think it`s your body odour,I didn`t want to tell you but I think it`s your body odour,negative, odour,0.08333333333333333
588,a5fbb6fbe8, thats pretty bad quality and probably the worst pic u posted till date,bad,negative, thats pretty bad quality,0.25
604,15f47296e2,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,I`m kinda o sick n tired,negative, sick,0.16666666666666666
605,eba1f29fb0, boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,boo.,negative, fake,0.0
619,ae8fd767fc,I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,ugh! These **** tonsils.,negative, ugh!,0.25
630,80a24991b3,im back to this z-index problem...again,im back to this z-index problem...again,negative, problem...,0.0
631,0549e452ec,is anyone out there??  so bored at work...,so bored at work...,negative, bored,0.25
636,fcfa10681f,first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,sucks!!,negative, sucks!!!!,0.0
655,e20b9a322f,"just when i thought things couldn`t get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",worse.,negative, misery.,0.0
664,dd9b922aad,What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,I`m such a rebel!,negative, rebel!,0.25
665,3f54e1d2cb," ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",.i`m sorry,negative, sorry about you are still sick,0.14285714285714285
674,2209fb4785,  That was stone cold   Crazy....  ?,That was stone cold   Crazy.,negative, crazy....,0.0
678,b36197ce92,Crisis: forgot my fringe comb  I`m with men....no one will help me,.no one will help me,negative, crisis: forgot,0.0
683,04510889b6,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",oh sorry! not getting all my replies  nothing against you.,negative, sorry!,0.1
703,e4c637df1d,"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",fail at life sometimes.,negative, fail,0.25
719,cae4719603,Finally sunny days and I`m too sick to go outside and play.,I`m too sick to go outside,negative, sick,0.16666666666666666
726,55bc437a33,Just got an IM from another co-worker who just got laid off. Lots of people becoming unemployed,just got laid off. Lots of people becoming unemployed,negative, unemployed,0.1111111111111111
731,d4824f31d8,i never knew a dentention was so hard 2 get,i never knew a dentention was so hard,negative, hard,0.125
733,829fd30504,my nail broke  I haaaaaaaaate,my nail broke  I haaaaaaaaate,negative, broke,0.2
737,0bc2e46e4e,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,. I hope Avalina isn`t a dud!,negative, dud!,0.14285714285714285
742,a2056ff40a,hates this weather,hates,negative, hates this weather,0.3333333333333333
